before,after,u3sigma
28.60023062,28.60023062,49.76997
26.35350069,26.35350069,49.76997
18.85373205,18.85373205,49.76997
36.29375864,36.29375864,49.76997
14.61308417,14.61308417,49.76997
25.65781125,25.65781125,49.76997
96.76741921,24.46503833,49.76997
35.41582669,35.41582669,49.76997
34.03243133,34.03243133,49.76997
40.45861619,40.45861619,49.76997
35.18084828,35.18084828,49.76997
32.15454791,32.15454791,49.76997
35.15425046,35.15425046,49.76997
34.26919693,34.26919693,49.76997
24.83357049,24.83357049,49.76997
28.48574239,28.48574239,49.76997
35.25679411,35.25679411,49.76997
32.77839647,32.77839647,49.76997
35.22490445,35.22490445,49.76997
30.07643481,30.07643481,49.76997
32.6585837,32.6585837,49.76997
32.12262269,32.12262269,49.76997
35.25679411,35.25679411,49.76997
35.22490445,35.22490445,49.76997
33.54991753,33.54991753,49.76997
33.69943685,33.69943685,49.76997
35.32778797,35.32778797,49.76997
34.32815288,34.32815288,49.76997
35.45149705,35.45149705,49.76997
33.35236624,33.35236624,49.76997
29.22616835,29.22616835,49.76997
35.14167518,35.14167518,49.76997
35.10932336,35.10932336,49.76997
32.726563,32.726563,49.76997
23.72816845,23.72816845,49.76997
34.36148593,34.36148593,49.76997
32.00264327,32.00264327,49.76997
27.49952987,27.49952987,49.76997
33.29434702,33.29434702,49.76997
31.3550527,31.3550527,49.76997
28.55781427,28.55781427,49.76997
34.56861084,34.56861084,49.76997
32.04684298,32.04684298,49.76997
39.11406714,39.11406714,49.76997
35.09814102,35.09814102,49.76997
34.89858767,34.89858767,49.76997
34.10873804,34.10873804,49.76997
24.657402,24.657402,49.76997
27.29982639,27.29982639,49.76997
31.63584562,31.63584562,49.76997
29.08348696,29.08348696,49.76997
35.25679411,35.25679411,49.76997
35.22490445,35.22490445,49.76997
32.63927574,32.63927574,49.76997
33.94939268,33.94939268,49.76997
29.72466939,29.72466939,49.76997
33.1825633,33.1825633,49.76997
31.34719214,31.34719214,49.76997
33.98870477,33.98870477,49.76997
32.49959024,32.49959024,49.76997
27.142081,27.142081,49.76997
37.72159671,37.72159671,49.76997
35.18354207,35.18354207,49.76997
35.29417736,35.29417736,49.76997
30.74105392,30.74105392,49.76997
33.50098788,33.50098788,49.76997
29.6321148,29.6321148,49.76997
24.68601323,24.68601323,49.76997
33.11655994,33.11655994,49.76997
35.51777697,35.51777697,49.76997
30.55179139,30.55179139,49.76997
33.11372132,33.11372132,49.76997
29.73691983,29.73691983,49.76997
36.16940652,36.16940652,49.76997
33.99138196,33.99138196,49.76997
46.8146311,46.8146311,49.76997
31.06122519,31.06122519,49.76997
57.47813108,34.42927,49.76997
35.22490445,35.22490445,49.76997
27.18874903,27.18874903,49.76997
28.01765685,28.01765685,49.76997
35.40180799,35.40180799,49.76997
28.26978346,28.26978346,49.76997
29.21612081,29.21612081,49.76997
35.10932336,35.10932336,49.76997
30.56357319,30.56357319,49.76997
23.4442886,23.4442886,49.76997
27.41614865,27.41614865,49.76997
30.65460196,30.65460196,49.76997
33.88198632,33.88198632,49.76997
28.33517163,28.33517163,49.76997
33.56298283,33.56298283,49.76997
30.57969485,30.57969485,49.76997
31.53472386,31.53472386,49.76997
34.93227785,34.93227785,49.76997
34.84665211,34.84665211,49.76997
27.28846486,27.28846486,49.76997
33.55023717,33.55023717,49.76997
33.32739992,33.32739992,49.76997
29.03376368,29.03376368,49.76997
35.5492039,35.5492039,49.76997
40.46094002,40.46094002,49.76997
32.75657752,32.75657752,49.76997
32.07862432,32.07862432,49.76997
35.22490445,35.22490445,49.76997
34.36408094,34.36408094,49.76997
32.44399094,32.44399094,49.76997
30.10151236,30.10151236,49.76997
32.04674373,32.04674373,49.76997
33.01246778,33.01246778,49.76997
24.81018027,24.81018027,49.76997
32.702074,32.702074,49.76997
36.7923824,36.7923824,49.76997
35.44311466,35.44311466,49.76997
30.7690567,30.7690567,49.76997
31.32054604,31.32054604,49.76997
33.6953444,33.6953444,49.76997
30.52397257,30.52397257,49.76997
33.79046829,33.79046829,49.76997
33.82906457,33.82906457,49.76997
29.42433835,29.42433835,49.76997
27.90168879,27.90168879,49.76997
22.12843769,22.12843769,49.76997
36.38487187,36.38487187,49.76997
42.80097388,42.80097388,49.76997
37.2466345,37.2466345,49.76997
37.96885519,37.96885519,49.76997
30.60506855,30.60506855,49.76997
31.44884605,31.44884605,49.76997
35.16018037,35.16018037,49.76997
29.20170227,29.20170227,49.76997
34.7903138,34.7903138,49.76997
29.43289631,29.43289631,49.76997
33.72197942,33.72197942,49.76997
35.34081747,35.34081747,49.76997
35.26602784,35.26602784,49.76997
32.77983491,32.77983491,49.76997
32.24262557,32.24262557,49.76997
38.84837159,38.84837159,49.76997
17.80520514,17.80520514,49.76997
35.44311466,35.44311466,49.76997
32.63745035,32.63745035,49.76997
24.63348475,24.63348475,49.76997
32.89627824,32.89627824,49.76997
27.86724428,27.86724428,49.76997
35.43849593,35.43849593,49.76997
32.22305777,32.22305777,49.76997
26.91643932,26.91643932,49.76997
27.01796405,27.01796405,49.76997
30.63329174,30.63329174,49.76997
28.74581798,28.74581798,49.76997
29.22126828,29.22126828,49.76997
35.25679411,35.25679411,49.76997
31.58700705,31.58700705,49.76997
31.38214799,31.38214799,49.76997
35.27634621,35.27634621,49.76997
31.42567075,31.42567075,49.76997
30.91181447,30.91181447,49.76997
29.20344515,29.20344515,49.76997
32.67434609,32.67434609,49.76997
31.70282126,31.70282126,49.76997
24.63348475,24.63348475,49.76997
50.44533138,29.515163,49.76997
30.07004038,30.07004038,49.76997
35.98112034,35.98112034,49.76997
33.37960843,33.37960843,49.76997
23.04855323,23.04855323,49.76997
32.11019966,32.11019966,49.76997
34.0395318,34.0395318,49.76997
26.05884006,26.05884006,49.76997
35.15027125,35.15027125,49.76997
31.58581431,31.58581431,49.76997
24.84419645,24.84419645,49.76997
21.55429916,21.55429916,49.76997
34.28837611,34.28837611,49.76997
33.22201158,33.22201158,49.76997
36.88478973,36.88478973,49.76997
32.03391941,32.03391941,49.76997
35.16018037,35.16018037,49.76997
35.22490445,35.22490445,49.76997
29.98880236,29.98880236,49.76997
35.22490445,35.22490445,49.76997
28.73906554,28.73906554,49.76997
40.46637531,40.46637531,49.76997
35.24084928,35.24084928,49.76997
31.33496874,31.33496874,49.76997
35.22490445,35.22490445,49.76997
35.4462927,35.4462927,49.76997
28.51744858,28.51744858,49.76997
35.22490445,35.22490445,49.76997
29.00414261,29.00414261,49.76997
29.33734095,29.33734095,49.76997
32.26652569,32.26652569,49.76997
33.38890292,33.38890292,49.76997
24.69584097,24.69584097,49.76997
35.29417736,35.29417736,49.76997
25.55785917,25.55785917,49.76997
33.01019235,33.01019235,49.76997
30.61041409,30.61041409,49.76997
33.49112724,33.49112724,49.76997
33.72197942,33.72197942,49.76997
35.22490445,35.22490445,49.76997
30.8295442,30.8295442,49.76997
30.9429891,30.9429891,49.76997
24.37277527,24.37277527,49.76997
30.41416514,30.41416514,49.76997
27.85069898,27.85069898,49.76997
29.79264048,29.79264048,49.76997
